date,state,district,deaths
2016-11-01,Kerala,Kottayam,1535
2016-11-01,Kerala,Kozhikode,1894
2016-11-01,Kerala,Malappuram,1550
2016-11-01,Kerala,Palakkad,1376
2016-11-01,Kerala,Pathanamthitta,931
2016-11-01,Kerala,Thiruvananthapuram,2277
2016-11-01,Kerala,Thrissur,2188
2016-11-01,Kerala,Wayanad,358
2016-12-01,Kerala,Alappuzha,1307
2016-12-01,Kerala,Ernakulam,1670
2016-12-01,Kerala,Idukki,592
2016-12-01,Kerala,Kannur,1485
2016-12-01,Kerala,Kasaragod,642
2016-12-01,Kerala,Kollam,1609
2016-12-01,Kerala,Kottayam,1519
2016-12-01,Kerala,Kozhikode,1987
2016-12-01,Kerala,Malappuram,1690
2016-12-01,Kerala,Palakkad,1452
2016-12-01,Kerala,Pathanamthitta,1010
2016-12-01,Kerala,Thiruvananthapuram,2534
2016-12-01,Kerala,Thrissur,2393
2016-12-01,Kerala,Wayanad,410
2017-01-01,Kerala,Alappuzha,1279
2017-01-01,Kerala,Ernakulam,1693
2017-01-01,Kerala,Idukki,584
2017-01-01,Kerala,Kannur,1608
2017-01-01,Kerala,Kasaragod,626
2017-01-01,Kerala,Kollam,1555
2017-01-01,Kerala,Kottayam,1629
2017-01-01,Kerala,Kozhikode,2106
2017-01-01,Kerala,Malappuram,1673
2017-01-01,Kerala,Palakkad,1481
2017-01-01,Kerala,Pathanamthitta,954
2017-01-01,Kerala,Thiruvananthapuram,2456
2017-01-01,Kerala,Thrissur,2235
2017-01-01,Kerala,Wayanad,444
2017-02-01,Kerala,Alappuzha,1214
2017-02-01,Kerala,Ernakulam,1474
2017-02-01,Kerala,Idukki,499
2017-02-01,Kerala,Kannur,1252
2017-02-01,Kerala,Kasaragod,513
2017-02-01,Kerala,Kollam,1364
2017-02-01,Kerala,Kottayam,1475
2017-02-01,Kerala,Kozhikode,1792
2017-02-01,Kerala,Malappuram,1501
2017-02-01,Kerala,Palakkad,1355
2017-02-01,Kerala,Pathanamthitta,883
2017-02-01,Kerala,Thiruvananthapuram,2308
2017-02-01,Kerala,Thrissur,2150
2017-02-01,Kerala,Wayanad,344
2017-03-01,Kerala,Alappuzha,1261
2017-03-01,Kerala,Ernakulam,1567
2017-03-01,Kerala,Idukki,569
2017-03-01,Kerala,Kannur,1376
2017-03-01,Kerala,Kasaragod,576
2017-03-01,Kerala,Kollam,1576
2017-03-01,Kerala,Kottayam,1548
2017-03-01,Kerala,Kozhikode,1834
2017-03-01,Kerala,Malappuram,1523
2017-03-01,Kerala,Palakkad,1383
2017-03-01,Kerala,Pathanamthitta,886
2017-03-01,Kerala,Thiruvananthapuram,2395
2017-03-01,Kerala,Thrissur,2156
2017-03-01,Kerala,Wayanad,363
2017-04-01,Kerala,Alappuzha,1247
2017-04-01,Kerala,Ernakulam,1556
2017-04-01,Kerala,Idukki,515
2017-04-01,Kerala,Kannur,1405
2017-04-01,Kerala,Kasaragod,524
2017-04-01,Kerala,Kollam,1477
2017-04-01,Kerala,Kottayam,1495
2017-04-01,Kerala,Kozhikode,2026
2017-04-01,Kerala,Malappuram,1538
2017-04-01,Kerala,Palakkad,1367
2017-04-01,Kerala,Pathanamthitta,881
2017-04-01,Kerala,Thiruvananthapuram,2498
2017-04-01,Kerala,Thrissur,2191
2017-04-01,Kerala,Wayanad,291
2017-05-01,Kerala,Alappuzha,1230
2017-05-01,Kerala,Ernakulam,1617
2017-05-01,Kerala,Idukki,502
2017-05-01,Kerala,Kannur,1471
2017-05-01,Kerala,Kasaragod,572
2017-05-01,Kerala,Kollam,1636
2017-05-01,Kerala,Kottayam,1660
2017-05-01,Kerala,Kozhikode,2019
2017-05-01,Kerala,Malappuram,1650
2017-05-01,Kerala,Palakkad,1441
2017-05-01,Kerala,Pathanamthitta,1025
2017-05-01,Kerala,Thiruvananthapuram,2617
2017-05-01,Kerala,Thrissur,2279
2017-05-01,Kerala,Wayanad,329
2017-06-01,Kerala,Alappuzha,1473
2017-06-01,Kerala,Ernakulam,1831
2017-06-01,Kerala,Idukki,630
2017-06-01,Kerala,Kannur,1563
2017-06-01,Kerala,Kasaragod,574
2017-06-01,Kerala,Kollam,1974
2017-06-01,Kerala,Kottayam,1841
2017-06-01,Kerala,Kozhikode,2262
2017-06-01,Kerala,Malappuram,1728
2017-06-01,Kerala,Palakkad,1617
2017-06-01,Kerala,Pathanamthitta,1142
2017-06-01,Kerala,Thiruvananthapuram,3060
2017-06-01,Kerala,Thrissur,2516
2017-06-01,Kerala,Wayanad,385
2017-07-01,Kerala,Alappuzha,1689
2017-07-01,Kerala,Ernakulam,2110
2017-07-01,Kerala,Idukki,688
2017-07-01,Kerala,Kannur,1865
2017-07-01,Kerala,Kasaragod,733
2017-07-01,Kerala,Kollam,2161
2017-07-01,Kerala,Kottayam,1930
2017-07-01,Kerala,Kozhikode,2876
2017-07-01,Kerala,Malappuram,2372
2017-07-01,Kerala,Palakkad,1920
2017-07-01,Kerala,Pathanamthitta,1271
2017-07-01,Kerala,Thiruvananthapuram,3278
2017-07-01,Kerala,Thrissur,3003
2017-07-01,Kerala,Wayanad,402
2017-08-01,Kerala,Alappuzha,1469
2017-08-01,Kerala,Ernakulam,1910
2017-08-01,Kerala,Idukki,619
2017-08-01,Kerala,Kannur,1821
2017-08-01,Kerala,Kasaragod,681
2017-08-01,Kerala,Kollam,1724
2017-08-01,Kerala,Kottayam,1785
2017-08-01,Kerala,Kozhikode,2434
2017-08-01,Kerala,Malappuram,2107
2017-08-01,Kerala,Palakkad,1670
2017-08-01,Kerala,Pathanamthitta,1099
2017-08-01,Kerala,Thiruvananthapuram,2672
2017-08-01,Kerala,Thrissur,2714
2017-08-01,Kerala,Wayanad,391
2017-09-01,Kerala,Alappuzha,1470
2017-09-01,Kerala,Ernakulam,1767
2017-09-01,Kerala,Idukki,569
2017-09-01,Kerala,Kannur,1531
2017-09-01,Kerala,Kasaragod,612
2017-09-01,Kerala,Kollam,1814
2017-09-01,Kerala,Kottayam,1670
2017-09-01,Kerala,Kozhikode,2151
2017-09-01,Kerala,Malappuram,1802
2017-09-01,Kerala,Palakkad,1583
2017-09-01,Kerala,Pathanamthitta,1069
2017-09-01,Kerala,Thiruvananthapuram,2654
2017-09-01,Kerala,Thrissur,2421
2017-09-01,Kerala,Wayanad,397
2017-10-01,Kerala,Alappuzha,1414
2017-10-01,Kerala,Ernakulam,1696
2017-10-01,Kerala,Idukki,557
2017-10-01,Kerala,Kannur,1487
2017-10-01,Kerala,Kasaragod,604
2017-10-01,Kerala,Kollam,1663
2017-10-01,Kerala,Kottayam,1626
2017-10-01,Kerala,Kozhikode,2081
2017-10-01,Kerala,Malappuram,1721
2017-10-01,Kerala,Palakkad,1538
2017-10-01,Kerala,Pathanamthitta,970
2017-10-01,Kerala,Thiruvananthapuram,2615
2017-10-01,Kerala,Thrissur,2307
2017-10-01,Kerala,Wayanad,397
2017-11-01,Kerala,Alappuzha,1334
2017-11-01,Kerala,Ernakulam,1573
2017-11-01,Kerala,Idukki,569
2017-11-01,Kerala,Kannur,1459
2017-11-01,Kerala,Kasaragod,617
2017-11-01,Kerala,Kollam,1551
2017-11-01,Kerala,Kottayam,1598
2017-11-01,Kerala,Kozhikode,2066
2017-11-01,Kerala,Malappuram,1630
2017-11-01,Kerala,Palakkad,1373
2017-11-01,Kerala,Pathanamthitta,1010
2017-11-01,Kerala,Thiruvananthapuram,2608
2017-11-01,Kerala,Thrissur,2329
2017-11-01,Kerala,Wayanad,362
2017-12-01,Kerala,Alappuzha,1510
2017-12-01,Kerala,Ernakulam,1711
2017-12-01,Kerala,Idukki,576
2017-12-01,Kerala,Kannur,1417
2017-12-01,Kerala,Kasaragod,613
2017-12-01,Kerala,Kollam,1810
2017-12-01,Kerala,Kottayam,1665
2017-12-01,Kerala,Kozhikode,2071
2017-12-01,Kerala,Malappuram,1699
2017-12-01,Kerala,Palakkad,1486
2017-12-01,Kerala,Pathanamthitta,1109
2017-12-01,Kerala,Thiruvananthapuram,2931
2017-12-01,Kerala,Thrissur,2271
2017-12-01,Kerala,Wayanad,417
2018-01-01,Kerala,Alappuzha,1487
2018-01-01,Kerala,Ernakulam,1802
2018-01-01,Kerala,Idukki,639
2018-01-01,Kerala,Kannur,1636
2018-01-01,Kerala,Kasaragod,662
2018-01-01,Kerala,Kollam,1659
2018-01-01,Kerala,Kottayam,1717
2018-01-01,Kerala,Kozhikode,2281
2018-01-01,Kerala,Malappuram,1868
2018-01-01,Kerala,Palakkad,1631
2018-01-01,Kerala,Pathanamthitta,1040
2018-01-01,Kerala,Thiruvananthapuram,2745
2018-01-01,Kerala,Thrissur,2431
2018-01-01,Kerala,Wayanad,476
2018-02-01,Kerala,Alappuzha,1278
