date,state,district,female,male,deaths
2018-05-01,Maharashtra,Chandrapur,265,399,664
2018-05-01,Maharashtra,Yavatmal,318,404,722
2018-05-01,Maharashtra,Nanded,304,593,897
2018-05-01,Maharashtra,Hingoli,51,101,152
2018-05-01,Maharashtra,Parbhani,170,285,455
2018-05-01,Maharashtra,Jalna,149,330,479
2018-05-01,Maharashtra,Aurangabad,275,534,809
2018-05-01,Maharashtra,Nashik,763,1138,1901
2018-05-01,Maharashtra,Thane,873,1220,2093
2018-05-01,Maharashtra,Mumbai Suburban,1739,2067,3806
2018-05-01,Maharashtra,Mumbai,1253,1762,3015
2018-05-01,Maharashtra,Raigarh,154,244,398
2018-05-01,Maharashtra,Pune,577,954,1531
2018-05-01,Maharashtra,Ahmednagar,446,705,1151
2018-05-01,Maharashtra,Beed,160,359,519
2018-05-01,Maharashtra,Latur,294,484,778
2018-05-01,Maharashtra,Osmanabad,117,214,331
2018-05-01,Maharashtra,Solapur,484,735,1219
2018-05-01,Maharashtra,Satara,658,819,1477
2018-05-01,Maharashtra,Ratnagiri,170,186,356
2018-05-01,Maharashtra,Sindhudurg,171,204,375
2018-05-01,Maharashtra,Kolhapur,361,473,834
2018-05-01,Maharashtra,Sangli,230,392,622
2018-05-01,Maharashtra,Palghar,244,328,572
2018-06-01,Maharashtra,Nandurbar,244,351,595
2018-06-01,Maharashtra,Dhule,250,378,628
2018-06-01,Maharashtra,Jalgaon,267,423,690
2018-06-01,Maharashtra,Buldana,114,228,342
2018-06-01,Maharashtra,Akola,257,404,661
2018-06-01,Maharashtra,Washim,68,137,205
2018-06-01,Maharashtra,Amravati,531,777,1308
2018-06-01,Maharashtra,Wardha,194,318,512
2018-06-01,Maharashtra,Nagpur,907,1459,2366
2018-06-01,Maharashtra,Bhandara,134,228,362
2018-06-01,Maharashtra,Gondiya,28,33,61
2018-06-01,Maharashtra,Gadchiroli,91,162,253
2018-06-01,Maharashtra,Chandrapur,196,340,536
2018-06-01,Maharashtra,Yavatmal,175,281,456
2018-06-01,Maharashtra,Nanded,239,453,692
2018-06-01,Maharashtra,Hingoli,35,73,108
2018-06-01,Maharashtra,Parbhani,144,217,361
2018-06-01,Maharashtra,Jalna,106,288,394
2018-06-01,Maharashtra,Aurangabad,202,452,654
2018-06-01,Maharashtra,Nashik,683,1027,1710
2018-06-01,Maharashtra,Thane,848,1298,2146
2018-06-01,Maharashtra,Mumbai Suburban,1634,2091,3725
2018-06-01,Maharashtra,Mumbai,1141,1807,2948
2018-06-01,Maharashtra,Raigarh,131,206,337
2018-06-01,Maharashtra,Pune,523,867,1390
2018-06-01,Maharashtra,Ahmednagar,402,619,1021
2018-06-01,Maharashtra,Beed,166,314,480
2018-06-01,Maharashtra,Latur,198,398,596
2018-06-01,Maharashtra,Osmanabad,91,159,250
2018-06-01,Maharashtra,Solapur,338,635,973
2018-06-01,Maharashtra,Satara,545,802,1347
2018-06-01,Maharashtra,Ratnagiri,135,172,307
2018-06-01,Maharashtra,Sindhudurg,154,194,348
2018-06-01,Maharashtra,Kolhapur,303,470,773
2018-06-01,Maharashtra,Sangli,168,252,420
2018-06-01,Maharashtra,Palghar,261,310,571
2018-07-01,Maharashtra,Nandurbar,307,416,723
2018-07-01,Maharashtra,Dhule,282,407,689
2018-07-01,Maharashtra,Jalgaon,314,428,742
2018-07-01,Maharashtra,Buldana,140,238,378
2018-07-01,Maharashtra,Akola,286,454,740
2018-07-01,Maharashtra,Washim,71,139,210
2018-07-01,Maharashtra,Amravati,614,980,1594
2018-07-01,Maharashtra,Wardha,223,366,589
2018-07-01,Maharashtra,Nagpur,1053,1682,2735
2018-07-01,Maharashtra,Bhandara,157,204,361
2018-07-01,Maharashtra,Gondiya,32,39,71
2018-07-01,Maharashtra,Gadchiroli,130,191,321
2018-07-01,Maharashtra,Chandrapur,242,365,607
2018-07-01,Maharashtra,Yavatmal,204,338,542
2018-07-01,Maharashtra,Nanded,280,469,749
2018-07-01,Maharashtra,Hingoli,56,65,121
2018-07-01,Maharashtra,Parbhani,137,239,376
2018-07-01,Maharashtra,Jalna,111,283,394
2018-07-01,Maharashtra,Aurangabad,254,490,744
2018-07-01,Maharashtra,Nashik,799,1086,1885
2018-07-01,Maharashtra,Thane,1146,1789,2935
2018-07-01,Maharashtra,Mumbai Suburban,1914,2433,4347
2018-07-01,Maharashtra,Mumbai,1386,2062,3448
2018-07-01,Maharashtra,Raigarh,149,212,361
2018-07-01,Maharashtra,Pune,614,977,1591
2018-07-01,Maharashtra,Ahmednagar,437,636,1073
2018-07-01,Maharashtra,Beed,131,315,446
2018-07-01,Maharashtra,Latur,232,464,696
2018-07-01,Maharashtra,Osmanabad,99,168,267
2018-07-01,Maharashtra,Solapur,421,659,1080
2018-07-01,Maharashtra,Satara,619,859,1478
2018-07-01,Maharashtra,Ratnagiri,128,180,308
2018-07-01,Maharashtra,Sindhudurg,170,183,353
2018-07-01,Maharashtra,Kolhapur,378,516,894
2018-07-01,Maharashtra,Sangli,126,159,285
2018-07-01,Maharashtra,Palghar,248,355,603
